,COMPANY,COMPANY_CODE,PROJECT_NAME,PROJECT_NUMBER,ASSOCIATE_TYPE,ASSOCIATE_COMPANY(AC),AC_CODE,AC_COUNTRY,AC_ADDRESS,AC_PINCODE,AC_CITY,AC_STATE,AC_TEL_NO,AC_FAX,AC_EMAIL,AC_WEBSITE
23625,National Highways Authority Of India,155597, Rajahmundry City (Morampudi Junction) (NH-216A) Flyover Project,1599,Contractor,Shrushti Contech Pvt. Ltd.,409385,India,"Registered Office:HIG - 49, A P H B Colony Proddatur,",516360,Cuddapah,Andhra Pradesh,,,praveen.t@shrushtigroup.com,
23626,National Highways Authority Of India,155597,4 Laning of four stretches of Lakhnadon-Seoni (Chapara) ( leftout Stretches ) of NH-7 Project,1229,Contractor,Prakash Asphaltings & Toll Highways (india) Ltd.,178735,India,"Registered Office:76, Mall Road, Mhow,",453441,Indore,Madhya Pradesh,91-7324-275001,91-7324-400318,path@pathltd.com,www.pathltd.com
23627,National Highways Authority Of India,155597,4 Laning of four stretches of Lakhnadon-Seoni (Chapara) ( leftout Stretches ) of NH-7 Project,1229,Contractor,Udit Infraworld Pvt. Ltd.,416257,India,"Registered Office:White House Arjun Nagar,",486001,Rewa,Madhya Pradesh,,,uditinfraworld@rediffmail.com,
23628,National Highways Authority Of India,155597,84 Kosi Parikrama Marg (NH-227B) Project,1665,Co-promoter,Uttar Pradesh Public Works Department,375252,India,"Registered Office:Nirman Bhawan, 96, Mahatma Gandhi Marg,",226001,Lucknow,Uttar Pradesh,91-522-2236496,,pwdgislko@gmail.com,www.uppwd.gov.in
23629,National Highways Authority Of India,155597,Achhampeta Junction (NH-216)-Kakinada Anchorage Port Connecting Vakalpudi Light House (NH-516F) Four Laning Project,1955,Contractor,R K Infracorp Pvt. Ltd.,406064,India,"Registered Office:1/712, Dwaraka Nagar, Kadapa,",516001,East Godavari,Andhra Pradesh,,,rkinfracorp@gmail.com,
23630,National Highways Authority Of India,155597,Achhampeta Junction (NH-216)-Kakinada Anchorage Port Connecting Vakalpudi Light House (NH-516F) Four Laning Project,1955,Contractor,Suryodaya Infra Projects (i) Pvt. Ltd.,466751,India,"Registered Office:H No.7-1-644, 1st Floor, Sunder Nagar Colony, Sanath Nagar,",500038,Hyderabad,Telangana,91-40-40123881,,rp@sipil.in,www.sipil.in
23631,National Highways Authority Of India,155597,Addahole-Bantwal Cross (NH-75) Four Lane Highway Project (Hassan-B.C. Road Pkg-II),1144,Consultant,Feedback Infrastructure Pvt. Ltd.,72651,India,"Registered Office:7, Local Shopping Centre, Panchsheel Park,",110017,New Delhi,Delhi,91-11-26495766,91-11-26495765,fil@ndf.vsnl.net.in,
23632,National Highways Authority Of India,155597,Addahole-Bantwal Cross (NH-75) Four Lane Highway Project (Hassan-B.C. Road Pkg-II),1144,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
23633,National Highways Authority Of India,155597,Adhelai village-Nari junction (NH-751) Four Lane Highway (Package-I of Pipli-Bhavnagar stretch) Project,1339,Contractor,Kalthia Engineering & Construction Ltd.,114870,India,"Corporate Office:28, Rangin Park, Opp. Rajpath Club, S G Highway, Bodakdev,",380059,Ahmedabad,Gujarat,91-79-26870501,91-79-26870501,kecl@kathiagroup.com,www.kalthiagroup.com
23634,National Highways Authority Of India,155597,Adhelai village-Nari junction (NH-751) Four Lane Highway (Package-I of Pipli-Bhavnagar stretch) Project,1339,Contractor,J P Iscon Pvt. Ltd.,371610,India,"Registered Office:Iscon House, Opp. Associated Petrol- Pump, B/h R. Bldg. Off C G Road, Rembrand Building,",380009,Ahmedabad,Gujarat,91-79-32919227,91-79-26464369,cs@isocongroup.com,www.iscongroup.com
23635,National Highways Authority Of India,155597,Adloor-Pochanpalli NH-7 Road Project,546,Contractor,G M R Airports Infrastructure Ltd.,76718,India,"Corporate Office:Skip House, 25/1, Museum Road,",560025,Bengaluru,Karnataka,91-80-2279949,91-80-2998118,,www.gmrgroup.in
23636,National Highways Authority Of India,155597,Agra Bypass (NS-1/UP-1) Four-Laning Highway Project,315,Consultant,Louis Berger Intl. Inc.,287149,USA,"Registered Office:114, M L A Colony, Road No.12, Banjara Hills,",500034,Hyderabad,Telangana,91-40-23305138,,,www.louisberger.com
23637,National Highways Authority Of India,155597,Agra Bypass (NS-1/UP-1) Four-Laning Highway Project,315,Contractor,Sadbhav Engineering Ltd.,206660,India,"Head Office:'Sadbhav House', Opp. Law Garden Police Chowki, Ellisbridge,",380006,Ahmedabad,Gujarat,"91-79-26463384,26460047",91-79-26400210,sadbhavad1@sancharnet.in,www.sadbhaveng.com
23638,National Highways Authority Of India,155597,Agra Bypass (NS-1/UP-1) Four-Laning Highway Project,315,Contractor,P N C Infratech Ltd.,296258,India,"Corporate Office:P N C Tower, 3/22-D, Civil Lines, Agra Delhi Bypass Road, National Highway 2,",282005,Agra,Uttar Pradesh,91-562-4054400,91-562-4070011,complianceofficer@pncinfratech.com,www.pncinfratech.com
23639,National Highways Authority Of India,155597,Agra Six Lane Bypass (Northern) connecting NH-19 to Yamuna Expressway Six Lane Project,2003,Contractor,Hillways Construction Co. Pvt. Ltd.,456827,India,"Registered Office:3/64, West Punjabi Bagh,",110026,New Delhi,Delhi,,,,
