PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Rajahmundry City (Morampudi Junction) (NH-216A) Flyover Project,1599,New Unit,560.9,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Andhra Pradesh,05-Oct-18,21/09/22,560.9,209.8,351.1
4 Laning of four stretches of Lakhnadon-Seoni (Chapara) ( leftout Stretches ) of NH-7 Project,1229,Substantial Expansion,586,Completed,"Engineering, Procurement & Construction",Jul-18,Madhya Pradesh,01-Jan-14,23/07/18,586,786.6,-200.6
4 to 6 Lane of NH-53 connecting Paradip Port Project,1714,Substantial Expansion,6000,No Information,,,Odisha,01-May-18,15/05/18,6000,6000,0
84 Kosi Parikrama Marg (NH-227B) Project,1665,Substantial Expansion,65000,Under Implementation,,Dec-23,Uttar Pradesh,04-Aug-15,20/10/22,65000,27500,37500
AIIMS (Patna)-Naubatpur (NH-139) Two Lane Road Project,2038,New Unit,880,Under Implementation,,,Bihar,01-Apr-21,07/06/22,880,880,0
Achhampeta Junction (NH-216)-Kakinada Anchorage Port Connecting Vakalpudi Light House (NH-516F) Four Laning Project,1955,Substantial Expansion,957.9,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Telangana,01-Jan-21,21/12/22,957.9,902,55.9
Addahole-Bantwal Cross (NH-75) Four Lane Highway Project (Hassan-B.C. Road Pkg-II),1144,New Unit,19240,Under Implementation,"Engineering, Procurement & Construction",Nov-23,Karnataka,01-Jul-15,28/02/22,19240,8700,10540
Adhelai village-Nari junction (NH-751) Four Lane Highway (Package-I of Pipli-Bhavnagar stretch) Project,1339,Substantial Expansion,8200,Completed,Hybrid Annuity,Apr-22,Gujarat,15-Sep-17,18/03/19,8200,7395.5,804.5
Adloor-Pochanpalli NH-7 Road Project,546,New Unit,7000,Completed,Build Operate Transfer,Mar-09,Andhra Pradesh,25-Sep-06,25/09/06,7000,7000,0
Agra Bypass (NS-1/UP-1) Four-Laning Highway Project,315,Substantial Expansion,4655,Completed,"Engineering, Procurement & Construction",Dec-16,Uttar Pradesh,01-Dec-03,01/03/08,4655,3481.6,1173.4
Agra District Foot Over Bridges across NH-2 (Section of Delhi-Agra Highway) Project,1448,New Unit,128.9,No Information,"Engineering, Procurement & Construction",,Uttar Pradesh,22-Dec-17,22/12/17,128.9,128.9,0
Agra Four Laning Bypass (connecting NH & Expressway) Project,1307,Substantial Expansion,4500,No Information,,,Uttar Pradesh,16-Jun-16,04/07/18,4500,4500,0
Agra Fourth Flyover/Underpass (Sabji Mandi) Project,1304,New Unit,260,Completed,,May-21,Uttar Pradesh,24-May-17,08/05/21,260,280,-20
Agra Six Lane Bypass (Northern) connecting NH-19 to Yamuna Expressway Six Lane Project,2003,Substantial Expansion,4830.7,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Sep-21,18/10/21,4830.7,4830.7,0
Agra-Gwalior (NS/4) Four Lane Highway Project,189,Substantial Expansion,700,Completed,,Jul-01,Uttar Pradesh,01-Jan-00,01/07/01,700,700,0
Agra-Jalesar-Etah (NH-321-G) Two/Four Lane Highway Improvement & Upgradation Project,1649,Substantial Expansion,10030,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,09-Jan-19,07/01/22,10030,2129.3,7900.7
Agra-Kanpur Expressway Project,26,New Unit,30000,No Information,Build Operate Transfer,,Uttar Pradesh,01-Dec-97,01/12/97,30000,30000,0
Agra-Shikohabad (GTRIP/I-A) Road Project,145,Substantial Expansion,4600,Completed,,Feb-13,Uttar Pradesh,30-Apr-00,30/10/09,4600,3674.9,925.1
Agra-Sikandara Highway Project,146,Substantial Expansion,2612.2,Completed,,Sep-06,Uttar Pradesh,01-Jun-01,01/01/02,2612.2,2280,332.2
Ahmadabad-Dandi Heritage Route Project,470,New Unit,24000,No Information,,,Gujarat,30-Apr-05,01/05/13,24000,13460,10540
Ahmednagar Four Lane Bypass Project,1420,Substantial Expansion,7734,Under Implementation,Hybrid Annuity,,Maharashtra,30-Nov-17,30/11/17,7734,7734,0
Ahore-Sanderao (NH-325) Highway Project (Package-III) (Jalore-Barmer-Sirohi),1271,Substantial Expansion,1136,Completed,"Engineering, Procurement & Construction",Sep-20,Rajasthan,06-Sep-15,14/09/20,1136,1668.8,-532.8
Akkalkot-Badadal (NH-150C) Four/Six Lane Greenfield Highway Project (Package-1 of Akkalkot-KN/TS Border Highway),1884,Substantial Expansion,46213,Announced,Hybrid Annuity,,Maharashtra,01-Apr-20,15/01/21,46213,46213,0
Akola City (NH-53) Flyovers Project,1450,New Unit,1639.8,Completed,"Engineering, Procurement & Construction",Aug-22,Maharashtra,01-Mar-15,12/10/18,1639.8,1758.9,-119.1
Akola City (NH-6) Bypass Project,31,New Unit,675,Completed,Build Operate Transfer,Oct-10,Maharashtra,31-Mar-07,01/07/09,675,468.7,206.3
Akola-Medshi (NH-161) Four Lane Highway Project,1814,Substantial Expansion,7321.2,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Jan-18,01/01/19,7321.2,7321.2,0
Alappuzha Bypass Project,782,New Unit,3440,Completed,"Engineering, Procurement & Construction",Jan-21,Kerala,30-Dec-80,21/01/21,3440,1570,1870
Alawalpur Chowk to Agra Chowk (NH-19) Elevated Corridor Project,1264,New Unit,2150,Completed,,Apr-22,Haryana,05-Apr-16,10/04/22,2150,2000,150
Aligarh-Kanpur (NH-91) Four/Six Laning Highway Project (Bharatmala),1040,New Unit,49610,Under Implementation,Hybrid Annuity,,Uttar Pradesh,30-Mar-10,31/03/18,49610,7236.8,42373.2
Aligarh-Moradabad (NH-93) (New NH-509) Two Laning Road Project,818,New Unit,9500,Completed,"Engineering, Procurement & Construction",May-19,Uttar Pradesh,19-Nov-10,20/02/19,9500,6980,2520
Allahabad Bypass (NH-2) Contract-I Highway Project,151,Substantial Expansion,913.6,Completed,"Engineering, Procurement & Construction",Oct-08,Uttar Pradesh,01-Jun-01,01/06/01,913.6,913.6,0
Allahabad Bypass (NH-2) Contract-II Project,721,New Unit,6971.6,Completed,,Dec-09,Uttar Pradesh,30-Apr-00,01/10/09,6971.6,6971.6,0
Allahabad Bypass (NH-2) Contract-III Project,722,New Unit,7161.5,Completed,,Dec-09,Uttar Pradesh,30-Apr-00,01/10/09,7161.5,7161.5,0
Aluva-Angamali(NS-28/KL) NH47 Highway Project,164,Substantial Expansion,773.8,Completed,"Engineering, Procurement & Construction",Apr-04,Kerala,01-Mar-01,01/01/02,773.8,780,-6.2
Amas-Shiwrampur Four Lane Highway (Package-I of Amas-Darbhanga Expressway) Project,1891,Substantial Expansion,13909.2,Under Implementation,Hybrid Annuity,Sep-24,Bihar,01-Mar-21,06/04/22,13909.2,12079.1,1830.1
Ambala Four Lane Ring Road (NH-44) (Connecting Five NH) Project,1825,New Unit,14850,Under Implementation,"Engineering, Procurement & Construction",Sep-25,Haryana,20-Jul-15,17/08/22,14850,4000,10850
Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-I),612,Substantial Expansion,4580,Completed,"Engineering, Procurement & Construction",Dec-19,Haryana,30-Apr-09,31/01/18,4580,4740.9,-160.9
Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-II),1011,Substantial Expansion,5742.8,Completed,"Engineering, Procurement & Construction",Jun-20,Haryana,30-Apr-09,30/06/16,5742.8,3798,1944.8
Ambala-Kala Amb section of NH-72 to Shahzadpur and Part of New NH-7 from Shahzadpur to Kala Amb Four Lane Highway Project,2089,Substantial Expansion,11827.7,Under Implementation,Hybrid Annuity,,Haryana,01-Oct-21,03/02/23,11827.7,11827.7,0
Ambala-Zirakpur (NH-21 & 22) Highway Project,767,New Unit,3646.2,Completed,,Mar-09,Haryana,01-May-06,01/05/06,3646.2,3646.2,0
Ambalapady Junction (NH-66) Double-cell Vehicular Underpass Project,1966,New Unit,250,Under Implementation,,,Karnataka,01-Sep-21,10/03/23,250,274.9,-24.9
Ambience Mall & DLF Phase 2 (NH-48) Elevated U-Turns Project,1539,New Unit,1619,Completed,"Engineering, Procurement & Construction",Mar-22,Haryana,01-Apr-08,11/01/19,1619,970,649
Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Substantial Expansion,29360,Completed,"Engineering, Procurement & Construction",Apr-22,Maharashtra,23-Aug-11,03/04/22,29360,22600,6760
Amravati Bypass Highway Project,13,New Unit,449.7,Completed,Build Operate Transfer,Jan-03,Maharashtra,01-Jun-97,01/10/02,449.7,350,99.7
Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Substantial Expansion,22881.8,Under Implementation,Hybrid Annuity,,Maharashtra,01-Mar-10,24/07/15,22881.8,22359.2,522.6
